"Arquivo","Tipo","Linhas","Complexidade","Nota","Status"
"page.tsx","Page",458,9,10,"OK"
"page.tsx","Page",80,2,5,"VIOLAÇÃO"
"page.tsx","Page",642,11,1,"CRÍTICO"
"page.tsx","Page",195,5,5,"VIOLAÇÃO"
"page.tsx","Page",54,0,10,"OK"
"page.tsx","Page",307,10,5,"VIOLAÇÃO"
"page.tsx","Page",150,1,10,"OK"
"page.tsx","Page",67,2,5,"VIOLAÇÃO"
"page.tsx","Page",71,2,5,"VIOLAÇÃO"
"clientsService.ts","Service",42,2,10,"OK"
"dashboardCalculator.ts","Service",147,2,10,"OK"
"ingredientsService.ts","Service",38,2,10,"OK"
"salesService.ts","Service",129,4,10,"OK"
"client.ts","Service",27,0,10,"OK"
"route.ts","",,0,10,"OK"
"route.ts","",,0,10,"OK"
"route.ts","",,0,10,"OK"
"route.ts","",,0,10,"OK"
