"Name","Count"
".local","2"
".gitignore","2"
".vercelignore","1"
".md","553"
".csv","5"
".rar","1"
".zip","1"
".ps1","46"
".js","17199"
".json","844"
".bat","8"
".txt","76"
"","462"
".html","6"
".sql","9"
".ts","6492"
".sh","5"
".tsbuildinfo","7"
".yaml","2"
".gz","11"
".old","2"
".css","25"
".woff2","7"
".tsx","516"
".backup","2"
".backup_2026-07-09_03-06","1"
".backup_20260526_214205","1"
".backup_antes_emprego","1"
".bak","7"
".corrompido","1"
".original","1"
".jsx","1"
".pem","2"
".env","1"
".example","1"
".python-version","1"
".toml","1"
".lock","1"
".yml","50"
".png","32"
".mmd","1"
".svg","2"
".py","410"
".cmd","26"
".map","4468"
".ejs","1"
".ico","2"
".mjs","1418"
".cjs","158"
".cts","34"
".mts","933"
".node","4"
".flow","5"
".jshintrc","2"
".npmignore","7"
".gyp","3"
".gypi","2"
".c","2"
".patch","1"
".h","2"
".cpp","19"
".hpp","4"
".lua","34"
".eslintrc","25"
".nycrc","18"
".1","1"
".markdown","4"
".snap","1"
".ttf","1"
".wasm","16"
".tm_properties","1"
".coffee","9"
".opts","1"
".editorconfig","7"
".APACHE2","1"
".BSD","1"
".MIT","1"
".checkbuild","1"
".jsbeautifyrc","1"
".gitkeep","2"
".bnf","1"
".eslintignore","1"
".tar","1"
".ignore","1"
".prisma","1"
".jpeg","2"
